avg_login_interval_days,duration_of_use_minutes,failed_tests_count,progress_rate,abandoned
34.48,577.7,6,0.291,1
37.28,279.5,13,0.294,1
40.68,280.8,20,0.452,1
35.09,563.0,22,0.546,1
1.32,274.9,22,0.896,1
14.72,390.9,22,0.796,1
5.31,272.4,11,0.085,0
43.89,369.2,5,0.379,0
41.07,341.5,21,0.863,1
34.66,35.5,9,0.31,1
28.27,74.9,4,0.96,0
0.75,301.1,15,0.544,0
10.86,355.4,15,0.454,0
0.49,529.9,8,0.62,0
2.39,93.2,20,0.349,1
26.1,364.0,10,0.92,0
8.19,404.9,19,0.661,0
25.39,579.9,23,0.579,1
13.61,224.3,12,0.82,0
3.11,285.1,3,0.695,0
23.7,419.0,19,0.058,0
23.9,57.2,23,0.689,0
13.07,367.3,10,0.26,0
41.73,370.5,15,0.52,1
8.26,367.6,22,0.29,1
21.03,479.1,23,0.848,0
18.75,203.6,17,0.806,0
31.11,156.4,2,0.308,1
0.47,413.1,10,0.396,0
37.48,120.4,10,0.922,1
1.79,85.8,4,0.627,0
15.21,471.5,13,0.928,0
25.51,408.5,17,0.536,0
36.02,533.4,11,0.066,0
15.39,228.3,17,0.842,1
26.86,519.4,24,0.308,1
12.36,56.6,7,0.372,1
23.72,109.1,11,0.785,0
20.08,19.8,15,0.905,1
21.86,525.0,9,0.776,0
37.03,563.1,21,0.993,1
17.56,519.6,3,0.004,0
26.82,56.8,14,0.889,0
33.6,18.4,24,0.312,1
8.83,169.6,10,0.773,0
7.26,73.1,19,0.56,1
24.81,166.3,22,0.804,1
14.15,535.9,17,0.444,0
30.46,68.0,1,0.086,1
40.13,379.5,22,0.699,1
36.82,429.2,21,0.809,0
34.45,342.8,2,0.813,0
20.61,412.3,22,0.766,0
6.64,537.9,8,0.913,0
30.0,474.3,10,0.453,0
15.94,279.4,5,0.282,0
22.96,246.4,22,0.797,1
35.7,322.0,12,0.591,1
7.32,292.0,2,0.341,0
35.34,264.0,25,0.342,1
30.2,444.9,22,0.574,1
20.94,335.3,14,0.176,1
5.07,489.4,24,0.82,0
2.95,134.5,4,0.887,0
0.21,92.3,4,0.453,0
20.23,127.4,10,0.3,1
41.35,562.3,22,0.983,1
0.56,591.9,12,0.848,0
40.57,580.9,0,0.703,0
38.78,520.1,7,0.432,0
32.09,246.6,13,0.545,1
8.63,233.8,11,0.84,0
30.22,84.9,2,0.648,0
29.68,585.1,4,0.085,0
20.63,474.4,19,0.93,0
19.2,492.9,12,0.355,0
26.09,508.8,7,0.712,0
26.02,24.9,1,0.568,1
21.77,415.8,4,0.73,0
33.83,171.3,16,0.078,1
21.37,446.3,21,0.078,1
14.2,36.4,10,0.535,0
40.79,346.5,10,0.421,1
13.16,26.0,19,0.749,1
2.95,286.5,5,0.573,0
33.23,21.2,15,0.083,1
12.65,83.9,8,0.275,0
27.25,546.5,23,0.151,1
11.9,422.0,15,0.181,1
44.29,580.6,19,0.934,1
44.71,463.4,7,0.661,1
26.08,505.9,1,0.642,0
7.71,242.3,9,0.476,0
10.67,411.7,12,0.475,0
0.73,556.7,14,0.382,0
43.02,62.9,17,0.637,1
41.33,515.7,10,0.27,1
26.37,279.4,21,0.749,1
8.93,205.8,22,0.993,1
0.58,45.4,13,0.098,1
10.03,173.6,6,0.034,1
26.82,536.9,6,0.95,0
5.57,514.6,4,0.376,0
36.18,114.9,3,0.696,1
42.14,385.1,8,0.769,0
34.7,158.1,24,0.074,1
15.1,40.7,8,0.178,0
9.19,238.6,20,0.492,0
9.98,387.8,14,0.715,1
25.8,154.1,14,0.019,1
0.24,27.5,12,0.266,0
25.94,311.7,24,0.491,1
35.19,472.3,17,0.226,1
35.14,77.1,17,0.935,1
18.15,381.2,20,0.091,0
3.8,278.5,24,0.29,1
43.54,398.1,9,0.696,1
16.29,55.5,20,0.438,1
1.34,597.8,7,0.489,0
13.99,322.7,25,0.449,1
2.71,473.7,1,0.406,0
23.64,564.4,17,0.149,0
1.85,89.2,20,0.019,1
11.07,391.0,0,0.172,0
35.76,276.4,5,0.835,0
5.32,359.0,19,0.221,1
36.56,589.4,21,0.402,1
24.66,196.3,25,0.213,1
3.03,168.0,24,0.415,1
19.85,555.8,1,0.133,0
17.05,98.9,15,0.081,0
31.86,358.3,9,0.416,0
31.22,127.7,20,0.271,1
8.02,416.5,19,0.18,0
28.3,470.6,11,0.419,1
44.4,586.2,19,0.362,1
10.02,463.3,21,0.208,1
6.88,507.1,15,0.498,0
2.62,221.7,6,0.435,0
34.18,30.8,23,0.052,1
1.5,311.4,2,0.895,0
14.8,123.3,21,0.898,1
10.4,146.1,13,0.87,1
21.3,293.2,13,0.145,1
17.55,86.2,23,0.194,1
15.25,24.1,18,0.06,1
20.74,106.9,10,0.22,1
35.8,571.9,5,0.578,1
18.64,315.5,6,0.592,0
32.9,443.0,7,0.248,1
41.75,568.0,18,0.898,1
44.61,441.4,16,0.034,1
35.95,493.7,14,0.495,0
31.25,246.9,6,0.133,1
4.26,290.5,9,0.162,0
26.35,586.0,14,0.772,0
35.59,225.4,14,0.704,1
17.44,416.0,16,0.033,1
42.59,327.7,25,0.207,1
15.24,559.7,16,0.945,0
5.17,222.5,19,0.041,1
31.78,338.7,24,0.205,1
5.29,289.7,24,0.58,1
33.58,139.1,11,0.898,1
2.64,226.8,14,0.486,1
32.0,408.6,17,0.899,1
30.36,417.5,2,0.188,1
17.7,111.4,2,0.109,0
22.44,525.6,16,0.952,0
30.77,559.4,15,0.347,0
13.26,42.5,25,0.232,1
18.64,209.0,20,0.787,0
23.95,331.3,14,0.304,0
7.89,159.7,15,0.372,0
6.85,174.2,5,0.619,0
8.37,109.3,22,0.693,1
10.86,29.5,10,0.575,1
9.39,425.7,21,0.317,1
24.39,101.7,9,0.121,0
34.63,568.9,10,0.156,1
22.93,390.1,9,0.474,0
44.13,346.4,4,0.8,0
15.37,71.8,15,0.9,0
14.0,244.0,7,0.446,1
28.93,352.1,7,0.781,1
3.94,510.4,21,0.672,0
8.91,194.1,19,0.512,0
18.01,431.0,13,0.37,1
15.94,586.6,17,0.088,1
44.67,483.2,9,0.164,0
32.84,251.4,18,0.598,1
44.48,317.6,10,0.066,1
4.16,248.6,8,0.415,0
34.03,86.5,5,0.832,1
37.06,184.7,18,0.304,1
1.4,6.5,8,0.3,0
5.76,401.2,9,0.417,0
11.16,76.0,8,0.493,0
16.41,290.9,13,0.868,0
31.3,76.2,16,0.733,1
26.26,92.0,14,0.878,1
12.42,254.6,11,0.049,0
3.64,120.3,20,0.183,0
24.56,524.1,21,0.8,0
16.44,323.0,11,0.823,0
16.91,293.5,10,0.921,0
22.75,499.8,25,0.897,0
23.75,321.6,17,0.702,1
41.24,74.4,4,0.923,1
16.44,491.1,19,0.523,1
13.85,448.0,3,0.222,1
10.35,79.6,4,0.981,0
5.21,16.2,15,0.757,1
35.73,310.5,1,0.469,1
13.71,11.1,3,0.782,1
40.57,114.9,11,0.029,1
12.63,350.0,11,0.161,0
11.03,344.3,3,0.82,0
32.27,578.7,5,0.902,0
4.62,132.3,16,0.851,0
8.49,405.7,3,0.181,0
9.8,140.4,3,0.761,0
23.48,300.0,11,0.705,1
14.9,73.9,9,0.457,0
37.88,139.4,13,0.291,1
3.32,505.4,15,0.939,1
30.4,404.9,12,0.438,1
6.62,243.4,18,0.978,0
7.76,221.4,6,0.339,0
5.7,503.7,23,0.499,0
26.8,455.0,25,0.644,1
27.22,245.6,15,0.511,1
5.67,296.2,7,0.628,0
2.57,45.6,21,0.027,1
14.85,185.1,19,0.096,1
34.59,476.7,6,0.294,1
24.5,486.6,17,0.547,1
19.48,549.4,12,0.45,0
1.81,110.2,21,0.86,0
22.22,85.0,22,0.389,1
22.18,334.5,17,0.572,0
22.9,237.9,15,0.591,0
34.54,174.2,1,0.028,0
15.83,446.5,0,0.765,0
19.38,595.2,13,0.351,1
29.23,357.6,22,0.066,1
1.08,199.0,14,0.658,0
19.07,17.1,15,0.588,1
17.69,345.7,25,0.488,1
22.45,487.8,21,0.34,1
19.73,300.7,25,0.075,1
12.08,181.9,18,0.402,0
4.32,507.3,3,0.592,0
23.99,259.1,11,0.796,1
36.22,262.6,17,0.313,1
23.29,404.6,17,0.181,1
38.85,348.2,6,0.661,0
12.2,384.6,25,0.614,1
25.56,377.9,16,0.201,1
33.64,460.5,13,0.41,0
28.6,508.4,8,0.824,0
27.14,246.5,3,0.15,0
14.11,293.8,13,0.422,1
12.42,22.3,25,0.804,1
38.39,578.5,15,0.782,0
14.26,182.3,2,0.901,0
29.65,58.7,23,0.843,1
22.61,76.8,21,0.829,0
11.48,531.3,7,0.6,0
37.49,443.7,25,0.748,1
6.66,109.2,8,0.439,0
22.17,227.9,3,0.316,0
43.36,528.3,4,0.363,0
1.14,580.2,19,0.035,0
2.65,550.9,21,0.24,1
43.14,220.9,25,0.685,1
20.02,9.7,12,0.928,1
42.15,455.2,9,0.21,0
28.48,528.3,24,0.644,1
3.79,468.8,15,0.471,0
32.34,526.7,3,0.824,0
15.96,363.3,17,0.738,1
2.53,386.7,20,0.443,1
9.16,186.8,18,0.082,1
43.64,499.2,24,0.13,1
42.29,273.6,23,0.134,1
14.88,172.7,2,0.414,0
42.53,531.2,7,0.021,1
27.62,141.1,2,0.974,0
7.76,243.6,13,0.6,0
7.82,342.5,0,0.719,0
20.53,405.8,3,0.224,0
36.64,163.4,23,0.494,1
27.08,597.1,9,0.727,0
35.7,22.1,8,0.235,1
26.31,390.1,2,0.01,1
31.25,413.7,22,0.383,1
3.47,336.4,1,0.333,0
44.85,563.9,25,0.598,1
11.56,373.7,9,0.978,0
40.17,29.5,5,0.26,0
39.53,83.5,10,0.71,1
14.23,587.2,15,0.872,0
41.7,173.3,8,0.613,1
14.22,536.1,10,0.737,0
25.09,554.1,20,0.798,1
10.5,26.3,8,0.164,1
40.3,299.5,14,0.357,1
22.29,508.3,4,0.124,0
8.29,105.1,16,0.823,0
9.72,598.8,0,0.526,0
3.64,462.1,21,0.094,1
44.16,77.6,11,0.59,1
7.09,53.2,22,0.66,0
26.82,8.5,1,0.656,1
32.97,441.9,25,0.569,1
29.04,197.3,1,0.744,0
4.35,156.8,7,0.965,0
38.39,101.9,24,0.402,1
7.11,182.6,25,0.432,1
30.89,83.1,21,0.096,1
20.16,235.9,8,0.563,0
36.53,370.3,13,0.631,1
43.8,407.5,20,0.686,1
28.4,317.2,9,0.468,0
13.66,590.6,21,0.903,0
13.44,33.4,2,0.917,0
18.7,281.5,23,0.568,1
3.86,304.5,3,0.741,0
37.96,31.9,13,0.877,1
20.58,403.8,19,0.808,0
36.49,130.6,2,0.747,0
4.96,323.0,0,0.395,0
20.82,246.0,21,0.966,1
27.91,584.5,11,0.691,0
36.25,57.1,4,0.014,1
43.68,516.1,6,0.481,1
37.93,515.6,17,0.191,1
21.43,18.0,5,0.902,0
21.93,16.7,14,0.585,1
37.56,35.3,0,0.103,1
18.82,299.9,18,0.596,1
22.04,294.2,18,0.725,0
39.07,143.0,1,0.528,1
3.05,536.3,13,0.889,0
29.15,271.8,13,0.021,1
15.6,143.1,7,0.588,0
38.43,430.5,14,0.131,1
43.2,500.7,21,0.653,1
43.7,101.4,6,0.282,1
5.98,123.7,19,0.492,0
22.32,144.7,17,0.047,1
16.2,99.4,16,0.032,1
27.87,76.8,7,0.486,0
34.67,463.2,17,0.267,1
23.29,403.3,22,0.05,1
43.33,454.7,3,0.782,0
4.76,339.7,16,0.105,0
41.01,98.4,9,0.708,1
39.2,96.8,11,0.335,1
19.87,252.4,24,0.007,1
13.05,106.9,8,0.372,1
29.99,95.2,24,0.53,1
19.41,551.2,14,0.952,0
42.48,268.3,24,0.01,1
4.0,192.3,24,0.164,0
29.78,386.7,18,0.058,1
29.78,314.3,9,0.419,0
39.33,434.3,10,0.909,1
23.85,552.7,22,0.404,0
28.17,372.8,14,0.697,0
18.32,122.4,9,0.084,1
32.41,528.5,16,0.992,1
24.92,315.2,24,0.636,0
24.39,158.9,24,0.304,1
32.99,505.7,8,0.627,1
29.36,79.2,9,0.572,1
10.78,448.7,18,0.566,0
24.09,359.4,11,0.299,0
25.86,88.3,12,0.52,1
26.29,494.6,11,0.454,0
18.66,59.9,13,0.889,1
16.74,318.1,18,0.559,0
26.38,383.7,14,0.689,0
18.88,101.9,16,0.127,1
31.76,518.6,3,0.694,1
7.23,337.6,3,0.602,0
25.82,29.0,4,0.118,1
13.37,21.6,4,0.142,1
40.26,534.0,6,0.183,1
24.73,45.2,1,0.418,0
40.53,469.9,15,0.834,1
6.41,383.7,24,0.45,0
14.77,480.9,21,0.624,0
15.39,32.3,21,0.89,1
38.99,425.8,18,0.63,1
29.1,388.1,2,0.192,0
2.57,344.3,6,0.751,1
29.69,321.5,0,0.275,0
37.78,349.8,2,0.807,0
2.22,517.9,0,0.34,0
23.85,232.3,2,0.115,1
6.65,157.1,2,0.154,0
2.84,576.9,5,0.027,0
14.54,250.6,10,0.258,0
2.52,147.6,19,0.586,0
17.45,73.5,1,0.318,1
1.5,382.0,0,0.269,0
11.23,335.1,25,0.126,1
38.11,302.8,25,0.968,0
35.23,324.8,13,0.961,1
36.61,576.9,19,0.289,1
42.02,291.9,19,0.251,0
37.94,131.6,16,0.281,1
3.33,58.4,22,0.123,1
12.72,262.0,19,0.505,0
42.55,382.9,24,0.708,1
14.61,130.3,19,0.328,1
41.52,367.2,0,0.901,0
40.31,423.5,24,0.393,1
29.38,325.5,21,0.445,0
17.06,362.8,12,0.177,0
0.58,280.3,6,0.445,1
12.79,553.2,11,0.192,0
36.42,136.6,15,0.967,1
31.74,365.6,0,0.196,1
39.17,343.6,15,0.17,1
30.31,363.8,5,0.065,1
11.83,344.1,7,0.881,0
38.18,18.8,22,0.678,1
39.76,6.2,13,0.641,1
42.26,262.4,13,0.274,1
16.39,456.6,23,0.225,1
20.31,8.1,6,0.335,0
44.56,139.2,22,0.424,1
7.57,189.9,20,0.625,0
1.28,479.3,10,0.841,0
43.15,500.3,10,0.52,1
27.08,265.9,3,0.625,1
2.92,24.8,10,0.89,0
2.98,482.4,1,0.301,0
30.55,337.8,9,0.85,0
18.62,519.4,25,0.66,1
35.82,528.6,19,0.101,1
1.36,312.7,18,0.192,0
3.23,474.7,6,0.904,0
16.12,291.4,19,0.445,0
2.91,190.4,13,0.513,0
26.35,327.0,4,0.147,1
16.72,9.8,18,0.658,1
36.9,337.9,1,0.422,1
40.9,472.2,10,0.189,1
21.14,417.0,18,0.566,1
14.92,67.4,25,0.911,0
28.82,417.5,14,0.624,0
42.88,202.3,23,0.376,1
0.5,10.9,11,0.03,1
8.91,353.5,24,0.36,1
12.93,135.3,8,0.719,0
8.2,17.8,8,0.911,0
17.18,473.5,3,0.338,0
16.76,226.5,5,0.941,0
39.7,527.6,2,0.118,1
8.7,321.9,22,0.374,0
11.16,32.5,19,0.587,1
6.86,152.1,20,0.796,0
43.58,532.1,6,0.727,0
27.75,104.6,12,0.751,1
22.54,281.2,10,0.712,0
43.02,286.9,18,0.401,1
1.84,135.6,6,0.452,0
19.24,229.4,5,0.935,0
6.22,55.0,14,0.519,1
23.15,205.1,14,0.468,0
14.4,232.5,5,0.442,1
40.59,180.2,16,0.513,1
41.71,63.6,2,0.36,1
30.44,153.8,23,0.816,1
31.81,598.8,24,0.716,1
34.7,172.7,11,0.783,1
26.18,394.9,15,0.654,0
38.97,140.4,23,0.749,1
35.41,455.8,23,0.814,1
38.09,260.1,22,0.418,1
1.55,87.7,4,0.306,0
29.72,216.0,7,0.419,1
35.08,324.9,10,0.587,1
6.43,586.5,10,0.568,0
25.91,237.6,12,0.204,1
8.64,69.6,18,0.962,1
7.88,406.6,5,0.032,0
8.56,46.3,12,0.284,0
3.34,39.2,16,0.011,0
17.72,593.8,4,0.536,0
42.99,520.1,4,0.87,0
29.98,99.5,18,0.939,1
30.88,168.9,0,0.991,0
27.3,151.9,10,0.91,1
26.01,443.7,9,0.646,1
37.95,476.4,12,0.613,1
11.36,540.5,23,0.432,0
31.49,61.8,22,0.946,1
12.47,378.7,9,0.667,0
40.62,545.7,13,0.992,0
3.63,67.6,24,0.78,1
9.49,31.6,0,0.073,0
17.28,448.8,6,0.397,1
41.29,199.6,23,0.464,1
29.63,429.6,14,0.14,0
7.84,15.7,3,0.177,0
7.75,404.5,0,0.677,0
9.91,25.5,21,0.532,1
28.64,316.1,21,0.716,1
14.01,36.2,0,0.049,1
11.39,545.7,6,0.091,0
15.3,119.3,21,0.063,1
37.63,400.1,23,0.167,1
14.86,339.4,6,0.625,0
19.37,143.3,3,0.357,0
14.37,236.6,14,0.22,1
28.15,31.1,6,0.411,1
44.57,429.0,25,0.991,1
43.16,361.9,20,0.696,0
31.28,202.6,20,0.762,0
30.05,45.2,0,0.609,1
28.9,143.3,18,0.705,1
34.2,78.8,7,0.738,1
2.88,227.8,9,0.202,0
10.87,436.6,14,0.739,0
29.03,457.5,16,0.792,0
33.82,141.3,23,0.331,1
40.82,400.7,7,0.801,1
39.3,315.3,5,0.442,0
3.34,119.5,20,0.992,1
7.98,331.6,25,0.932,1
32.68,190.3,23,0.198,1
13.78,348.0,20,0.201,1
42.81,219.0,12,0.168,1
33.12,457.4,25,0.482,1
3.93,544.3,9,0.595,0
11.73,280.9,14,0.283,1
15.13,430.3,6,0.155,1
22.63,436.6,15,0.405,1
33.45,233.5,9,0.641,1
1.94,553.4,12,0.932,0
43.08,463.9,24,0.722,1
31.04,419.4,20,0.385,1
21.6,553.3,11,0.631,0
29.11,160.5,14,0.944,1
26.11,399.2,5,0.012,0
41.28,241.6,18,0.974,0
39.45,103.7,13,0.253,0
29.7,232.8,9,0.734,0
39.15,70.0,18,0.777,1
33.74,558.4,12,0.699,1
22.23,62.6,24,0.696,1
33.04,106.5,11,0.186,1
22.72,70.6,18,0.814,1
8.39,456.7,8,0.983,0
41.1,70.0,20,0.166,1
12.6,208.6,18,0.235,0
0.63,163.3,0,0.665,0
9.66,476.1,12,0.603,0
41.96,286.6,10,0.604,1
15.57,192.6,7,0.941,0
2.76,216.8,10,0.806,0
18.2,502.1,4,0.026,0
42.81,452.1,7,0.368,1
21.49,250.8,6,0.003,0
14.63,382.1,1,0.97,0
10.66,293.3,23,0.613,1
41.93,558.9,21,0.857,1
13.37,121.1,4,0.87,0
32.31,23.9,15,0.797,1
24.78,525.5,5,0.896,0
24.42,149.8,5,0.753,1
19.68,430.9,5,0.929,0
12.76,432.9,21,0.476,1
6.28,323.1,23,0.492,1
10.23,347.7,19,0.065,0
33.48,436.4,20,0.642,0
36.42,138.0,3,0.291,1
26.73,117.0,3,0.573,1
17.23,443.5,9,0.062,0
44.1,195.2,11,0.798,1
29.94,356.5,3,0.395,0
6.68,566.0,7,0.5,0
6.74,400.9,25,0.828,0
22.71,414.7,8,0.997,0
37.33,299.5,22,0.966,0
7.04,431.5,23,0.934,0
41.56,466.7,15,0.727,0
41.07,99.7,0,0.548,0
44.57,455.8,12,0.072,1
41.55,422.2,17,0.394,1
26.2,484.0,22,0.304,1
20.0,292.1,4,0.21,1
29.38,220.5,18,0.102,1
17.07,589.7,21,0.842,1
43.84,111.9,1,0.117,1
19.64,93.4,23,0.404,1
22.09,414.4,5,0.653,0
35.83,396.8,24,0.464,1
28.53,269.8,0,0.12,0
30.16,308.3,0,0.587,0
31.28,61.3,18,0.181,1
19.63,345.0,3,0.325,0
24.28,246.2,22,0.02,1
36.59,295.7,16,0.837,0
29.4,453.3,6,0.966,0
27.04,112.1,17,0.447,1
25.96,393.3,2,0.562,1
44.1,306.2,11,0.966,0
29.69,152.8,1,0.946,0
29.73,269.7,18,0.49,0
44.86,365.7,16,0.21,1
10.82,116.9,9,0.856,1
24.93,357.1,8,0.128,1
11.62,232.2,5,0.4,0
19.26,418.2,17,0.204,1
28.56,389.1,22,0.372,1
27.3,254.7,4,0.316,1
43.39,152.3,8,0.125,1
3.15,385.9,11,0.909,0
35.95,167.8,3,0.377,1
4.9,555.8,5,0.526,0
36.34,61.8,11,0.7,1
27.41,538.5,5,0.318,1
36.31,408.3,25,0.532,1
21.56,80.9,0,0.687,0
6.59,342.7,8,0.053,0
31.9,153.2,19,0.418,1
16.06,283.9,9,0.276,0
39.69,489.3,9,0.636,1
34.72,507.9,20,0.079,0
7.6,39.2,23,0.286,1
0.68,569.3,21,0.509,0
23.27,598.8,17,0.698,0
41.01,448.8,22,0.425,1
44.74,398.4,16,0.684,1
7.75,558.5,24,0.524,1
37.81,310.6,1,0.423,1
5.27,548.9,7,0.832,0
13.19,292.5,8,0.213,0
9.94,186.4,20,0.516,0
40.18,509.8,1,0.356,1
16.05,8.1,23,0.186,1
22.24,55.4,16,0.899,0
0.51,462.8,8,0.226,0
19.39,113.4,25,0.269,1
19.88,88.2,23,0.434,1
9.09,117.8,1,0.134,0
1.62,401.4,15,0.96,0
22.11,299.9,21,0.714,0
39.7,303.6,23,0.843,1
5.03,17.6,4,0.344,0
2.53,498.8,13,0.976,0
13.17,294.1,24,0.429,1
8.57,172.3,3,0.864,0
36.96,123.1,22,0.783,1
27.58,117.3,18,0.629,1
18.18,167.9,6,0.929,0
4.27,35.3,13,0.525,0
10.14,258.5,1,0.51,0
12.26,171.9,11,0.712,0
8.34,5.3,21,0.745,1
40.9,65.0,5,0.252,1
5.2,403.0,21,0.552,1
33.41,220.0,24,0.589,1
12.56,352.7,2,0.887,0
5.59,354.0,20,0.817,0
4.62,565.4,19,0.343,0
9.25,433.9,1,0.128,0
40.14,456.8,17,0.975,1
32.34,547.0,2,0.483,0
35.63,104.3,8,0.697,1
25.56,477.7,22,0.19,1
24.05,310.5,2,0.166,1
35.12,243.5,8,0.207,1
26.73,10.3,25,0.513,1
11.8,512.2,9,0.708,0
2.24,146.7,1,0.64,0
6.16,524.7,1,0.642,0
24.15,5.8,11,0.633,1
42.6,531.0,8,0.722,0
14.74,39.1,0,0.824,0
8.12,583.1,17,0.657,0
26.33,434.9,22,0.382,0
28.62,332.8,14,0.221,1
36.39,453.0,4,0.446,1
6.85,290.0,15,0.182,0
8.66,296.9,23,0.18,1
39.86,491.4,21,0.608,1
11.19,545.9,12,0.1,0
36.4,364.0,12,0.384,1
37.41,561.1,4,0.248,1
28.31,13.0,0,0.958,0
15.36,425.9,6,0.139,0
36.73,187.9,15,0.155,1
28.31,78.2,1,0.103,1
37.67,89.4,7,0.024,1
29.56,139.4,21,0.385,1
5.24,105.9,3,0.225,0
3.62,203.6,11,0.923,0
27.28,111.0,16,0.335,1
40.21,413.9,19,0.818,1
41.25,398.7,8,0.811,1
0.3,560.2,4,0.778,0
20.21,479.1,15,0.815,0
32.76,91.1,10,0.995,1
14.51,257.2,22,0.973,0
6.39,566.7,7,0.383,0
22.27,324.0,7,0.385,0
26.09,417.6,23,0.219,1
9.31,511.1,11,0.558,0
2.87,212.9,24,0.819,1
38.43,583.2,13,0.242,1
6.37,577.4,22,0.143,0
19.23,37.2,3,0.663,0
39.2,23.0,11,0.141,1
37.43,252.8,24,0.182,1
31.5,183.2,13,0.723,1
0.79,71.2,1,0.881,0
22.75,11.5,13,0.68,1
37.36,551.9,16,0.306,0
12.38,59.7,12,0.978,1
27.93,135.2,5,0.823,0
3.66,417.0,15,0.313,0
7.58,483.0,20,0.424,1
16.45,468.4,10,0.028,0
3.13,360.3,24,0.91,0
41.83,148.0,2,0.977,0
35.6,32.2,10,0.093,0
33.88,575.4,16,0.195,1
43.83,423.1,3,0.331,1
22.7,466.2,0,0.587,0
38.37,177.6,4,0.682,0
42.89,142.8,6,0.807,0
7.41,578.4,16,0.992,0
34.63,271.3,4,0.339,0
19.5,535.0,24,0.683,0
27.39,575.0,18,0.628,0
6.59,522.9,17,0.868,0
22.55,275.6,5,0.934,0
16.48,58.1,5,0.711,0
44.04,459.1,14,0.65,1
25.68,28.6,9,0.401,0
5.98,223.2,19,0.952,0
22.87,161.4,21,0.043,1
35.62,421.3,17,0.008,1
7.29,242.6,2,0.223,0
15.83,283.8,17,0.9,1
32.98,550.9,12,0.768,0
14.41,597.9,15,0.213,1
20.57,329.3,15,0.146,1
44.45,465.7,1,0.936,0
21.41,37.2,0,0.953,0
28.68,54.7,2,0.274,0
20.42,254.7,6,0.67,0
4.34,541.5,10,0.963,0
42.4,291.6,17,0.689,1
16.09,417.3,12,0.823,0
9.1,435.0,18,0.617,0
42.27,447.0,23,0.733,0
42.04,302.2,10,0.114,1
23.53,7.2,14,0.943,1
28.82,349.1,1,0.219,1
24.66,103.8,12,0.216,1
30.65,573.3,11,0.814,0
22.69,521.3,22,0.499,1
15.96,497.8,13,0.523,1
8.08,259.9,5,0.553,0
12.97,397.5,21,0.437,0
41.65,514.9,2,0.806,0
27.81,249.7,15,0.75,1
28.58,304.5,25,0.033,1
10.18,275.5,12,0.115,0
15.91,477.3,14,0.413,0
33.4,9.5,11,0.782,1
29.71,187.9,25,0.909,1
40.93,24.4,0,0.153,1
36.94,362.0,10,0.17,1
25.1,237.9,19,0.644,1
26.09,81.7,20,0.39,1
14.45,99.3,7,0.1,1
28.49,471.6,24,0.627,1
42.7,126.2,2,0.026,1
7.06,372.8,17,0.921,0
33.46,82.7,14,0.634,1
29.43,136.9,6,0.535,0
35.41,463.4,21,0.052,1
1.24,591.0,3,0.111,0
6.55,160.9,5,0.093,0
37.76,237.5,15,0.795,1
28.23,130.1,13,0.375,0
36.42,112.0,0,0.904,0
38.5,74.7,10,0.994,1
24.68,99.2,23,0.255,1
24.21,313.2,24,0.152,1
9.92,199.9,7,0.083,1
12.46,123.5,2,0.349,0
33.58,300.0,16,0.946,1
9.06,508.4,22,0.281,0
34.54,190.4,25,0.206,1
20.19,359.8,8,0.816,0
19.43,342.4,11,0.898,0
40.05,575.1,8,0.587,0
29.1,579.3,11,0.398,0
19.44,115.6,7,0.073,1
35.12,77.8,10,0.688,1
25.62,196.3,7,0.562,0
23.82,66.2,8,0.716,0
30.28,346.5,20,0.422,1
14.54,122.3,25,0.494,1
5.54,274.4,19,0.327,0
12.97,388.0,18,0.988,0
37.91,244.7,17,0.918,1
3.31,61.6,25,0.415,1
15.69,52.5,24,0.313,1
31.4,275.5,20,0.967,1
27.89,22.4,1,0.825,0
38.79,435.9,7,0.17,0
16.73,542.2,0,0.934,0
35.37,70.9,9,0.075,1
36.6,165.6,5,0.925,1
14.51,93.1,18,0.888,1
20.22,77.8,16,0.241,1
12.77,464.7,15,0.226,1
3.91,337.3,7,0.659,0
3.7,583.2,1,0.212,0
17.45,295.1,10,0.209,1
38.66,457.5,9,0.709,0
4.93,82.4,11,0.386,0
9.3,243.1,2,0.278,0
39.17,390.8,4,0.461,1
0.94,279.2,8,0.029,0
12.1,556.5,2,0.354,0
19.5,203.6,14,0.273,1
32.99,256.4,9,0.189,1
27.41,313.6,3,0.681,0
10.04,36.6,1,0.575,0
12.54,530.1,22,0.716,1
33.08,528.3,8,0.495,1
28.73,425.0,9,0.734,0
31.58,288.7,9,0.853,1
30.73,104.2,10,0.9,1
21.46,203.8,5,0.974,1
34.26,10.8,11,0.97,1
11.29,70.1,0,0.567,0
23.73,104.5,4,0.775,0
15.24,296.9,11,0.99,0
16.52,13.1,11,0.301,1
29.94,519.8,19,0.484,1
28.86,93.0,13,0.856,1
22.5,150.4,23,0.696,1
4.2,552.8,12,0.639,0
30.61,540.0,14,0.987,1
40.98,212.6,10,0.391,0
14.06,29.5,16,0.702,1
35.83,342.2,25,0.792,0
22.55,412.9,14,0.681,1
25.2,101.8,15,0.288,1
2.03,173.4,18,0.123,1
15.98,501.3,1,0.251,0
38.68,400.9,24,0.561,1
6.59,441.2,13,0.585,0
21.4,216.0,25,0.679,1
40.71,536.4,9,0.597,1
39.44,483.6,4,0.683,1
25.03,184.1,2,0.297,1
8.42,470.5,13,0.096,0
22.77,412.7,11,0.468,0
